	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
226			50.90909090909091	e			4.783783783783784	10.4	0.0	0.01	0.0	0.0
454	Sugary snacks	Biscuits and cakes	74.54545454545455	e	58.4	29.1	58.70270270270271	33.5	17.0	0.393700787401575	1.3	5.5
458	Sugary snacks	Biscuits and cakes			70.2	13.3	48.891891891891895	35.7	7.0		2.5	6.1
459			63.63636363636363	e	63.6	20.8	53.54054054054054	31.8	13.7	0.224409448818898		6.1
680			20.0	a	7.8	1.6	9.567567567567568	2.7	0.6	0.0984251968503937	1.3	8.9
695			52.72727272727273	d			43.72972972972973	0.4	19.7	0.602362204724409	0.8	21.7
894	Composite foods	One dish meals				4.4						
1356	Composite foods	Sandwich	21.81818181818182	a	25.1	5.3	21.91891891891892	1.3	1.9	0.236220472440945	2.3	10.0
7387	Fat and sauces	Dressings and sauces	43.63636363636364	c	1.8	0.0	1.2432432432432434	0.0	0.0	2.91338582677165	1.2	0.6
9601			32.72727272727273	c	2.5	9.7	17.2972972972973	0.7	3.2	0.405511811023622		13.8
9891	Sugary snacks	Biscuits and cakes			68.5	17.7	52.10810810810811	44.4	10.1	0.318897637795276	2.7	5.1
10375			50.90909090909091	d			59.02702702702703	23.6	3.8	0.393700787401575	9.9	4.8
11272	Sugary snacks	Biscuits and cakes	65.45454545454545	e	57.8	32.4	61.32432432432433	34.0	12.8	0.315	5.4	5.1
11273			65.45454545454545	e			57.5945945945946	34.8	13.9	0.31496062992126	5.8	3.8
11275			65.45454545454545	e			60.270270270270274	32.6	14.3	0.275590551181102	4.2	4.9
11276			63.63636363636363	e	58.7	31.3	60.48648648648649	30.4	13.9	0.31496062992126	3.6	5.0
11277	Sugary snacks	Biscuits and cakes	65.45454545454545	e	67.3	19.2	52.5945945945946	41.7	10.6	0.196850393700787	5.7	5.3
11278	Sugary snacks	Biscuits and cakes	56.36363636363636	d	74.2	14.5	47.37837837837838	41.9	4.8	0.29		6.5
11281	Sugary snacks	Biscuits and cakes	67.27272727272728	e	70.8	17.1	51.78378378378379	40.8	9.5	0.236220472440945	2.2	4.8
11282	Salty snacks	Appetizers			64.2	18.1	52.91891891891892	1.4	3.7	0.748031496062992	2.5	11.6
11339	Salty snacks	Nuts			17.3	45.2	64.5945945945946	10.3	5.8		0.0	20.0
12998			52.72727272727273	d			45.94594594594595	37.0	0.0	0.63	7.41	7.41
13089			30.90909090909091	b			24.45945945945946	5.4	2.4	0.326771653543307	2.1	8.0
13108			27.272727272727273	b	22.14	0.0	10.513513513513514	17.86	0.0	0.1		0.71
13112			60.0	e	15.8	0.0	7.1891891891891895	13.3	0.0	0.00909	0.303	0.0
13129			27.272727272727273	b	8.29	0.29	3.837837837837838	6.29	0.0	0.037	0.3	0.0
13133			54.54545454545455	e			5.054054054054054	11.0	0.0	0.0236220472440945	0.0	0.0
13134	Beverages	Fruit juices	27.272727272727273	b	8.33	0.208	3.783783783783784	6.25	0.0	0.0375	0.0	0.0
13135			30.90909090909091	c			4.648648648648649	8.9	0.1	0.047244094488189	0.0	0.5
13138	Beverages	Sweetened beverages	54.54545454545455	e	12.57	0.0	4.972972972972974	11.0	0.0	0.031		0.0
13149	Fruits and vegetables	Soups	29.09090909090909	b	5.0	5.33	8.297297297297298	3.33	2.0	0.247		1.33
14734	Cereals and potatoes	Cereals	43.63636363636364	c	70.5	1.41	38.37837837837838	7.05	0.705	0.804	2.82	11.3
